Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
62 /escm/login/auth,5,168,57,523,99,178.15,0.00%,9.6,48.79,5226.0
Login Page Request,5,493,343,851,484,184.52,100.00%,5.9,2872.83,500691.0
5 /escm/login/doAuth?id=loginform,5,1432,1214,1753,1695,240.18,0.00%,2.9,27.90,10016.0
Login Page Credentials and Dashboard Display,5,2191,1849,2644,2371,284.76,0.00%,1.9,605.59,327920.0
77 /escm/order/index,5,1395,1202,1532,1517,120.79,0.00%,3.3,61.25,19216.0
88 /escm/order/showOrderDetail,5,992,793,1318,1032,183.40,0.00%,3.8,76.32,20600.4
98 /escm/messages,5,21,14,45,17,11.96,0.00%,111.1,50.02,461.0
99 /escm/recentItem,5,26,15,38,30,7.72,0.00%,131.6,43.82,341.0
Order Selection,5,2705,2247,3208,2979,346.67,0.00%,1.6,256.55,168550.4
109 /escm/order/searchOrder,5,446,366,539,469,57.07,0.00%,9.3,33.79,3730.2
111 /escm/messages,5,20,14,28,25,5.31,0.00%,178.6,80.39,461.0
112 /escm/recentItem,5,21,14,40,22,9.60,0.00%,125.0,41.63,341.0
110 /escm/order/showOrderDetail,5,1589,1096,2359,1689,450.83,0.00%,2.1,46.16,22303.2
117 /escm/messages,5,15,13,16,16,1.26,0.00%,312.5,140.69,461.0
118 /escm/recentItem,5,14,12,18,16,2.24,0.00%,277.8,92.50,341.0
Order_Search,5,2191,1594,2981,2333,473.86,0.00%,1.7,120.83,73769.4
TOTAL,80,857,12,3208,2333,933.37,6.25%,24.9,1757.13,72151.8
