sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
62 /escm/login/auth,5,168,92,99,523,523,57,523,0.00%,9.6,48.8,178.15
Login Page Request,5,493,401,484,851,851,343,851,100.00%,5.9,2872.8,184.52
5 /escm/login/doAuth?id=loginform,5,1432,1285,1695,1753,1753,1214,1753,0.00%,2.9,27.9,240.18
Login Page Credentials and Dashboard Display,5,2191,2114,2371,2644,2644,1849,2644,0.00%,1.9,605.6,284.76
77 /escm/order/index,5,1395,1369,1517,1532,1532,1202,1532,0.00%,3.3,61.2,120.79
88 /escm/order/showOrderDetail,5,992,969,1032,1318,1318,793,1318,0.00%,3.8,76.3,183.40
98 /escm/messages,5,21,16,17,45,45,14,45,0.00%,111.1,50.0,11.96
99 /escm/recentItem,5,26,25,30,38,38,15,38,0.00%,131.6,43.8,7.72
Order Selection,5,2705,2625,2979,3208,3208,2247,3208,0.00%,1.6,256.5,346.67
109 /escm/order/searchOrder,5,446,437,469,539,539,366,539,0.00%,9.3,33.8,57.07
111 /escm/messages,5,20,19,25,28,28,14,28,0.00%,178.6,80.4,5.31
112 /escm/recentItem,5,21,17,22,40,40,14,40,0.00%,125.0,41.6,9.60
110 /escm/order/showOrderDetail,5,1589,1626,1689,2359,2359,1096,2359,0.00%,2.1,46.2,450.83
117 /escm/messages,5,15,16,16,16,16,13,16,0.00%,312.5,140.7,1.26
118 /escm/recentItem,5,14,13,16,18,18,12,18,0.00%,277.8,92.5,2.24
Order_Search,5,2191,2207,2333,2981,2981,1594,2981,0.00%,1.7,120.8,473.86
TOTAL,80,857,437,2333,2625,2981,12,3208,6.25%,24.9,1757.1,933.37
